sku,name,current_stock,safety_stock,reorder_point,lead_time_days,unit_cost
SKU-C01,Raw cotton fabric,9,14,14,21,36.4
SKU-C02,Polyester lining,18,5,10,7,9.2
SKU-B01,"Buttons, assorted",240,17,80,3,14.8
SKU-T01,Sewing thread,95,11,40,5,17.3
SKU-X01,Generic component 1,51,8,21,6,25.7
SKU-X02,Generic component 2,52,9,22,7,30.7
SKU-X03,Generic component 3,53,9,23,8,16.6
SKU-X04,Generic component 4,54,10,24,9,27.4
SKU-X05,Generic component 5,55,10,25,10,15.3
SKU-X06,Generic component 6,56,11,26,11,13.3
SKU-X07,Generic component 7,57,11,27,12,14.3
SKU-X08,Generic component 8,58,12,28,13,17.6
SKU-X09,Generic component 9,59,12,29,14,8.6
SKU-X10,Generic component 10,60,7,30,5,13.5
SKU-X11,Generic component 11,61,8,31,6,36.3
SKU-X12,Generic component 12,62,9,32,7,11.0
SKU-X13,Generic component 13,63,9,33,8,38.7
SKU-X14,Generic component 14,64,10,34,9,11.5
SKU-X15,Generic component 15,65,10,35,10,31.6
SKU-X16,Generic component 16,66,11,36,11,30.0
