order_id,sku,supplier_id,quantity,order_date,eta,actual_delivery,status,value_usd
ORD-0001,SKU-C01,SUP-001,85,2026-03-10,2026-03-31,2026-03-30,delivered,480.22
ORD-0002,SKU-B01,SUP-001,487,2026-03-11,2026-03-14,2026-03-13,delivered,6029.29
ORD-0003,SKU-C01,SUP-001,282,2026-03-13,2026-04-03,2026-04-03,delivered,7581.47
ORD-0004,SKU-C01,SUP-001,231,2026-03-15,2026-04-05,2026-04-05,delivered,2666.26
ORD-0005,SKU-B01,SUP-001,361,2026-03-17,2026-03-20,2026-03-21,delivered,9696.18
ORD-0006,SKU-X02,SUP-003,286,2026-03-19,2026-03-26,,in_transit,5050.87
ORD-0007,SKU-X14,SUP-001,162,2026-03-20,2026-03-29,2026-03-28,delivered,4640.67
ORD-0008,SKU-C01,SUP-001,66,2026-03-22,2026-04-12,,in_transit,2176.79
ORD-0009,SKU-B01,SUP-001,158,2026-03-24,2026-03-27,2026-03-28,delivered,5825.92
ORD-0010,SKU-X07,SUP-001,158,2026-03-26,2026-04-07,2026-04-07,delivered,4360.14
ORD-0011,SKU-X11,SUP-002,123,2026-03-28,2026-04-03,2026-04-02,delivered,1664.89
ORD-0012,SKU-X14,SUP-001,184,2026-03-29,2026-04-07,2026-04-07,delivered,5684.22
ORD-0013,SKU-X09,SUP-001,235,2026-03-31,2026-04-14,2026-04-13,delivered,2795.45
ORD-0014,SKU-B01,SUP-001,436,2026-04-02,2026-04-05,2026-04-07,delivered,2483.54
ORD-0015,SKU-C01,SUP-002,131,2026-04-04,2026-04-25,2026-04-26,delivered,4259.45
ORD-0016,SKU-X09,SUP-002,245,2026-04-06,2026-04-20,2026-04-21,delivered,6235.74
ORD-0017,SKU-X14,SUP-001,490,2026-04-07,2026-04-16,2026-04-23,delivered,18584.48
ORD-0018,SKU-X14,SUP-001,434,2026-04-09,2026-04-18,2026-04-25,delivered,5904.88
ORD-0019,SKU-C01,SUP-002,200,2026-04-11,2026-05-02,,in_transit,3930.31
ORD-0020,SKU-X05,SUP-001,306,2026-04-13,2026-04-23,2026-04-29,delivered,9617.78
ORD-0021,SKU-X06,SUP-002,480,2026-04-15,2026-04-26,2026-04-28,delivered,12961.05
ORD-0022,SKU-C01,SUP-001,241,2026-04-16,2026-05-07,2026-05-13,delivered,7579.54
ORD-0023,SKU-X13,SUP-002,50,2026-04-18,2026-04-26,2026-04-27,delivered,1278.1
ORD-0024,SKU-C01,SUP-003,235,2026-04-20,2026-05-11,,in_transit,8373.99
ORD-0025,SKU-X06,SUP-002,172,2026-04-22,2026-05-03,,in_transit,1046.67
ORD-0026,SKU-B01,SUP-002,93,2026-04-24,2026-04-27,2026-04-25,delivered,2822.43
ORD-0027,SKU-X14,SUP-001,442,2026-04-25,2026-05-04,2026-05-11,delivered,3769.1
ORD-0028,SKU-X14,SUP-001,134,2026-04-27,2026-05-06,2026-05-12,delivered,1814.63
ORD-0029,SKU-X03,SUP-001,326,2026-04-29,2026-05-07,2026-05-14,delivered,10167.79
ORD-0030,SKU-C01,SUP-002,209,2026-05-01,2026-05-22,2026-05-22,delivered,3838.02
ORD-0031,SKU-X13,SUP-003,281,2026-05-03,2026-05-11,2026-05-10,delivered,2348.08
ORD-0032,SKU-C01,SUP-002,60,2026-05-04,2026-05-25,2026-05-24,delivered,1510.75
ORD-0033,SKU-C01,SUP-002,86,2026-05-06,2026-05-27,2026-05-25,delivered,2535.48
ORD-0034,SKU-C01,SUP-002,66,2026-05-08,2026-05-29,2026-05-27,delivered,2306.49
ORD-0035,SKU-X05,SUP-001,392,2026-05-10,2026-05-20,,in_transit,8418.17
ORD-0036,SKU-X15,SUP-003,345,2026-05-12,2026-05-22,,in_transit,7250.57
ORD-0037,SKU-X10,SUP-003,147,2026-05-13,2026-05-18,,in_transit,1087.17
ORD-0038,SKU-X08,SUP-001,266,2026-05-15,2026-05-28,2026-06-04,delivered,5000.72
ORD-0039,SKU-C01,SUP-001,384,2026-05-17,2026-06-07,2026-06-09,delivered,15141.1
ORD-0040,SKU-C01,SUP-002,422,2026-05-19,2026-06-09,,in_transit,6842.69
ORD-0041,SKU-X04,SUP-001,148,2026-05-21,2026-05-30,,in_transit,1605.43
ORD-0042,SKU-X10,SUP-002,143,2026-05-22,2026-05-27,2026-05-26,delivered,2005.95
ORD-0043,SKU-B01,SUP-001,276,2026-05-24,2026-05-27,2026-06-02,delivered,9132.51
ORD-0044,SKU-C01,SUP-001,383,2026-05-26,2026-06-16,2026-06-18,delivered,15310.11
ORD-0045,SKU-X04,SUP-001,135,2026-05-28,2026-06-06,2026-06-11,delivered,2515.17
ORD-0046,SKU-C01,SUP-001,255,2026-05-30,2026-06-20,2026-06-23,delivered,9304.43
ORD-0047,SKU-C01,SUP-001,249,2026-05-31,2026-06-21,2026-06-26,delivered,3373.28
ORD-0048,SKU-C01,SUP-001,406,2026-06-02,2026-06-23,2026-06-29,delivered,15616.15
ORD-0049,SKU-X12,SUP-001,129,2026-06-04,2026-06-11,2026-06-14,delivered,1397.89
ORD-0050,SKU-X15,SUP-002,426,2026-06-06,2026-06-16,2026-06-16,delivered,10019.11
